,City,State
0,Los Angeles,California
1,San Diego,California
2,San Jose,California
3,San Francisco,California
4,Seattle,Washington
5,Portland,Oregon
6,Fresno,California
7,Sacramento,California
8,Long Beach,California
9,Oakland,California
10,Bakersfield,California
11,Anaheim,California
12,Santa Ana,California
13,Riverside,California
14,Stockton,California
15,Anchorage,Alaska
16,Irvine,California
17,Chula Vista,California
18,Fremont,California
19,Spokane,Washington
20,San Bernardino,California
21,Modesto,California
22,Tacoma,Washington
23,Fontana,California
24,Santa Clarita,California
25,Oxnard,California
26,Moreno Valley,California
27,Glendale,California
28,Huntington Beach,California
29,Rancho Cucamonga,California
30,Oceanside,California
31,Ontario,California
32,Vancouver,Washington
33,Santa Rosa,California
34,Garden Grove,California
35,Elk Grove,California
36,Salem,Oregon
37,Eugene,Oregon
38,Corona,California
39,Hayward,California
40,Lancaster,California
41,Salinas,California
42,Palmdale,California
43,Sunnyvale,California
44,Pomona,California
45,Escondido,California
46,Torrance,California
47,Bellevue,Washington
48,Pasadena,California
49,Orange,California
50,Fullerton,California
51,Roseville,California
52,Visalia,California
53,Concord,California
54,Thousand Oaks,California
55,Kent,Washington
56,Santa Clara,California
57,Simi Valley,California
58,Victorville,California
59,Berkeley,California
60,Vallejo,California
61,Fairfield,California
62,El Monte,California
63,Carlsbad,California
64,Temecula,California
65,Costa Mesa,California
66,Murrieta,California
67,Downey,California
68,Antioch,California
69,Gresham,Oregon
70,Ventura,California
71,Inglewood,California
72,Everett,Washington
73,Richmond,California
74,Clovis,California
75,West Covina,California
76,Daly City,California
77,Santa Maria,California
78,Hillsboro,Oregon
79,Norwalk,California
80,Jurupa Valley,California
81,Burbank,California
82,San Mateo,California
83,El Cajon,California
84,Rialto,California
85,Vista,California
86,Renton,Washington
87,Vacaville,California
88,Compton,California
89,Spokane Valley,Washington
90,Beaverton,Oregon
91,Federal Way,Washington
92,San Marcos,California
93,Mission Viejo,California
94,South Gate,California
95,Hesperia,California
96,Bend,Oregon
97,Yakima,Washington
98,Chico,California
99,Carson,California
100,Santa Monica,California
101,Santa Barbara,California
102,Redding,California
103,Westminster,California
104,Tracy,California
105,San Leandro,California
106,Livermore,California
107,Indio,California
108,Bellingham,Washington
109,Kirkland,Mozyr
